,Unnamed: 0,type,category,review,star,token_review
448,448,아이폰12프로,만족도,"아이폰12 기대했던 것만큼 디자인
아이폰12 기대했던 것만큼 디자인도 좋고 고급스럽습니다
갤럭시에서 넘어와서 아직 적응이 안됐지만 좋은 폰임은 확실합니다
하이마트라서 믿고 구매했구요 상품포장도 완충재 사용하여 완벽했슺니다",5,"['아이폰', '12', '기대했던', '것', '만큼', '디자인', '\n', '아이폰', '12', '기대했던', '것', '만큼', '디자인', '도', '좋고', '고급스럽습니다', '\n', '갤럭시', '에서', '넘어와서', '아직', '적응', '이', '안', '됐지만', '좋은', '폰임', '은', '확실합니다', '\n', '하이마트', '라서', '믿고', '구매', '했구요', '상품', '포장', '도', '완충', '재', '사용', '하여', '완벽했', '슺니', '다']"
449,449,아이폰12프로,만족도,"가격은 사악하지만 사전예약 카드
가격은 사악하지만 사전예약 카드할인까지 받아서 조금 더 싸게 살 수 있어서 다행이었습니다
색상도 예쁘고 배송도 빠르고 마음에 드네요!",5,"['가격', '은', '사악하지만', '사전예약', '카드', '\n', '가격', '은', '사악하지만', '사전예약', '카드', '할인', '까지', '받아서', '조금', '더', '싸게', '살', '수', '있어서', '다행', '이었습니다', '\n', '색상', '도', '예쁘고', '배송', '도', '빠르고', '마음', '에', '드네', '요']"
450,450,아이폰12프로,만족도,"예상보다 몇일 일찍받아서 좋았어
예상보다 몇일 일찍받아서 좋았어요
역시 그파가 젤 이쁘네요~ :)
할인받고 구매해서 만족스러워요",4,"['예상', '보다', '몇', '일', '일찍', '받아서', '좋았어', '\n', '예상', '보다', '몇', '일', '일찍', '받아서', '좋았어요', '\n', '역시', '그', '파가', '젤', '이쁘네요', '할인', '받고', '구매', '해서', '만족스러워요']"
451,451,아이폰12프로,만족도,"기다리던 제품이 생각보다 빨리와
기다리던 제품이 생각보다 빨리와서 너무 기분 좋았어요
안전배송해주셔서 고마워요",5,"['기다리던', '제품', '이', '생각', '보다', '빨리', '와', '\n', '기다리던', '제품', '이', '생각', '보다', '빨리', '와서', '너무', '기분', '좋았어요', '\n', '안전', '배송', '해주셔서', '고마워요']"
452,452,아이폰12프로,만족도,"12/1에 재고떠서 주문해서 그 다음날 바로 받았어요!!
12/1에 재고떠서 주문해서 그 다음날 바로 받았어요!!
사은품으로 리브모바일 유심도 주셨네요 ㅎㅎ 나중에 약정 끝나면 리브모바일로 갈아타야겠어요~
카드할인도 5만원 정도 받아서 너무 잘 샀어요 ㅎㅎ",5,"['121', '에', '재고', '떠서', '주문', '해서', '그', '다음', '날', '바로', '받았어요', '\n', '121', '에', '재고', '떠서', '주문', '해서', '그', '다음', '날', '바로', '받았어요', '\n', '사은', '품', '으로', '리브', '모바일', '유심', '도', '주셨네요', '나중', '에', '약정', '끝나면', '리브', '모바일', '로', '갈아타야겠어요', '\n', '카드', '할인', '도', '5만원', '정도', '받아서', '너무', '잘', '샀어요']"
453,453,아이폰12프로,만족도,"xs에서 넘어왔는데 속도, 카메라 등 만족스럽습니다.
xs에서 넘어왔는데 속도, 카메라 등 만족스럽습니다.",5,"['xs', '에서', '넘어왔는데', '속도', '카메라', '등', '만족스럽습니다', '\n', 'xs', '에서', '넘어왔는데', '속도', '카메라', '등', '만족스럽습니다']"
454,454,아이폰12프로,만족도,"만족합니다 배송도 빨라요
만족합니다 배송도 빨라요",5,"['만족합니다', '배송', '도', '빨라요', '\n', '만족합니다', '배송', '도', '빨라요']"
455,455,아이폰12프로,만족도,"역시 아이폰 더말필요없음
역시 아이폰 더말필요없음",5,"['역시', '아이폰', '더말', '필요없음', '\n', '역시', '아이폰', '더말', '필요없음']"
456,456,아이폰12프로,만족도,"현대카드 할인 12% 에 1차 구매자라
현대카드 할인 12% 에 1차 구매자라 빠른 배송까지 너무 만족했씁니다 핸드폰도 양품으로 왔구요 아이폰 사전예약은 하이마트가 최고인 것 같습니다!",5,"['현대', '카드', '할인', '12', '에', '1', '차', '구매', '자라', '\n', '현대', '카드', '할인', '12', '에', '1', '차', '구매', '자라', '빠른', '배송', '까지', '너무', '만족했', '씁니다', '핸드폰', '도', '양품', '으로', '왔구요', '아이폰', '사전예약', '은', '하이마트', '가', '최고', '인', '것', '같습니다']"
457,457,아이폰12프로,만족도,"배송은 느렸지만 그래도 11월2주차
배송은 느렸지만 그래도 11월2주차보단 빨랐어요
너무예쁩니다",5,"['배송', '은', '느렸지만', '그래도', '11월', '2', '주차', '\n', '배송', '은', '느렸지만', '그래도', '11월', '2', '주차', '보단', '빨랐어요', '\n', '너무', '예쁩니다']"
